05/10/2016;005;A;AFN;0,04902000;0,04918000;65,80000000;66,00000000
05/10/2016;009;A;ETB;0,14500000;0,14760000;21,91900000;22,31900000
05/10/2016;015;A;THB;0,09281000;0,09288000;34,84000000;34,86000000
05/10/2016;020;A;PAB;3,23530000;3,23590000;1,00000000;1,00000000
05/10/2016;026;A;VEF;0,32350000;0,32440000;9,97500000;10,00000000
05/10/2016;030;A;BOB;0,46090000;0,47100000;6,87000000;7,02000000
05/10/2016;035;A;GHS;0,80000000;0,82930000;3,90180000;4,04390000
05/10/2016;040;A;CRC;0,00580900;0,00591700;546,91000000;556,91000000
05/10/2016;045;A;SVC;0,37050000;0,37100000;8,72200000;8,73200000
05/10/2016;051;A;NIO;0,10990000;0,11270000;28,70000000;29,45000000
05/10/2016;055;A;DKK;0,48670000;0,48690000;6,64640000;6,64740000
05/10/2016;060;A;ISK;0,02836000;0,02842000;113,88000000;114,08000000
05/10/2016;065;A;NOK;0,40270000;0,40290000;8,03160000;8,03460000
05/10/2016;070;A;SEK;0,37610000;0,37630000;8,59890000;8,60190000
05/10/2016;075;A;CZK;0,13400000;0,13410000;24,12900000;24,14100000
05/10/2016;090;A;GMD;0,07493000;0,07672000;42,18000000;43,18000000
05/10/2016;095;A;DZD;0,02944000;0,02954000;109,54750000;109,89750000
05/10/2016;100;A;KWD;10,70940000;10,73980000;0,30130000;0,30210000
05/10/2016;105;A;BHD;8,58170000;8,58330000;0,37700000;0,37700000
05/10/2016;115;A;IQD;0,00277900;0,00278400;1162,20000000;1164,20000000
05/10/2016;125;A;JOD;4,56710000;4,57240000;0,70770000;0,70840000
05/10/2016;130;A;LYD;2,32890000;2,34110000;1,38220000;1,38920000
05/10/2016;132;A;MKD;0,05853000;0,05914000;54,72000000;55,28000000
05/10/2016;133;A;RSD;0,02940000;0,02944000;109,90000000;110,04000000
05/10/2016;134;A;SDG;0,53120000;0,53310000;6,07000000;6,09000000
05/10/2016;135;A;TND;1,46740000;1,46830000;2,20390000;2,20480000
05/10/2016;136;A;SSP;0,06862000;0,06929000;46,70000000;47,15000000
